epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05077,1.17935,2.47758,1.58462,0.00374,1,0.65945,0.31713,1.23427,3.09779,1.93527,0.00036,0.00036,0.00036
2,16.1347,1.30594,1.90824,1.61811,0.00369,0.98795,0.51681,0.2462,1.36637,3.0472,2.44679,0.000725348,0.000725348,0.000725348
3,24.1205,1.35539,1.83563,1.66362,0.44961,0.14458,0.27054,0.11432,1.89686,3.33705,4.00229,0.00107565,0.00107565,0.00107565
4,30.9391,1.42355,1.81731,1.70291,0.30467,0.19277,0.18407,0.0764,2.69297,3.89377,4.508,0.0014109,0.0014109,0.0014109
5,38.7205,1.41187,1.79818,1.71792,0.17953,0.20482,0.11811,0.03857,2.62264,3.94154,3.74271,0.0017311,0.0017311,0.0017311
6,45.7084,1.45576,1.67337,1.6793,0.08022,0.09639,0.02716,0.00681,4.16053,3.88026,5.93053,0.001802,0.001802,0.001802
7,53.1937,1.46809,1.71212,1.70937,0.43875,0.37349,0.35165,0.15609,1.97273,4.12073,3.24869,0.0017624,0.0017624,0.0017624
8,60.8342,1.46505,1.59678,1.69954,0.17517,0.19277,0.08762,0.03027,3.03868,6.70304,3.8574,0.0017228,0.0017228,0.0017228
9,67.751,1.4952,1.57299,1.72231,0.52868,0.59036,0.48884,0.21404,2.0186,3.97225,3.11843,0.0016832,0.0016832,0.0016832
10,75.7359,1.44016,1.49453,1.68098,0.63989,0.54217,0.58418,0.3015,1.70818,5.14257,2.57279,0.0016436,0.0016436,0.0016436
11,82.5125,1.3662,1.48247,1.62512,0.50965,0.55422,0.49759,0.22905,2.06305,3.64804,3.16694,0.001604,0.001604,0.001604
12,90.5127,1.3713,1.36932,1.65309,0.45746,0.51807,0.45537,0.17588,2.31375,1.95938,3.14926,0.0015644,0.0015644,0.0015644
13,97.4023,1.33415,1.39546,1.58343,0.64101,0.6988,0.6797,0.32574,1.73952,1.58814,2.44394,0.0015248,0.0015248,0.0015248
14,105.116,1.3192,1.30125,1.6161,0.75334,0.84635,0.87688,0.52733,1.29617,1.46402,2.01473,0.0014852,0.0014852,0.0014852
15,113.023,1.29729,1.3123,1.54839,0.7324,0.81928,0.8253,0.47546,1.35035,1.95291,2.06211,0.0014456,0.0014456,0.0014456
16,119.852,1.35735,1.28332,1.61597,0.67711,0.72289,0.74072,0.41733,1.50374,2.20355,2.06985,0.001406,0.001406,0.001406
17,127.671,1.29282,1.20088,1.56499,0.82478,0.91566,0.92095,0.53712,1.43457,1.02055,2.07751,0.0013664,0.0013664,0.0013664
18,134.585,1.29197,1.18742,1.56387,0.88863,0.89157,0.92158,0.61885,1.22757,0.89754,1.83251,0.0013268,0.0013268,0.0013268
19,142.524,1.22948,1.12934,1.50495,0.9096,0.81928,0.9286,0.63309,1.18972,0.94759,1.79019,0.0012872,0.0012872,0.0012872
20,149.543,1.18349,1.08543,1.48508,0.89835,0.89157,0.94169,0.64092,1.14488,0.91662,1.72354,0.0012476,0.0012476,0.0012476
21,157.262,1.19993,1.07431,1.51106,0.87844,0.91566,0.93356,0.57917,1.34479,0.93358,1.86399,0.001208,0.001208,0.001208
22,165.124,1.17139,1.01701,1.48828,0.85252,0.86747,0.93462,0.63321,1.21173,0.9753,1.80964,0.0011684,0.0011684,0.0011684
23,171.739,1.17364,1.05302,1.47392,0.77097,0.86747,0.87475,0.59839,1.11278,0.97181,1.72599,0.0011288,0.0011288,0.0011288
24,179.414,1.18599,1.08901,1.45177,0.89337,0.91566,0.95378,0.64396,1.09457,0.79675,1.66215,0.0010892,0.0010892,0.0010892
25,186.036,1.15529,1.01473,1.47135,0.87086,0.89375,0.94809,0.65843,1.06483,0.7983,1.64666,0.0010496,0.0010496,0.0010496
26,193.995,1.17726,1.05935,1.46225,0.85513,0.92458,0.94245,0.64633,1.2241,0.90461,1.79942,0.00101,0.00101,0.00101
27,200.855,1.13784,0.98193,1.44893,0.92579,0.93976,0.9563,0.68888,1.12676,0.80089,1.7399,0.0009704,0.0009704,0.0009704
28,208.679,1.1591,0.9886,1.44586,0.94458,0.82148,0.94002,0.63098,1.08898,0.8224,1.64468,0.0009308,0.0009308,0.0009308
29,216.414,1.05757,0.94977,1.39877,0.85441,0.9192,0.93512,0.67061,1.10795,0.75509,1.66584,0.0008912,0.0008912,0.0008912
30,223.276,1.08567,0.93847,1.41655,0.90079,0.87522,0.94416,0.65049,1.14174,0.74486,1.73661,0.0008516,0.0008516,0.0008516
31,231.2,1.10042,0.91803,1.40059,0.87195,0.82045,0.9324,0.65285,1.15584,0.84502,1.70489,0.000812,0.000812,0.000812
32,238.058,1.09892,0.90157,1.45056,0.88965,0.92771,0.96565,0.70492,1.02643,0.73828,1.58798,0.0007724,0.0007724,0.0007724
33,245.973,1.11143,0.93037,1.41487,0.93658,0.88962,0.96043,0.67227,1.09758,0.71626,1.67702,0.0007328,0.0007328,0.0007328
34,252.673,1.10218,0.93764,1.43375,0.92511,0.90361,0.95561,0.65773,1.04847,0.76738,1.64276,0.0006932,0.0006932,0.0006932
35,260.404,1.04755,0.89698,1.38491,0.89695,0.92771,0.96542,0.6795,1.00343,0.68131,1.6271,0.0006536,0.0006536,0.0006536
36,268.089,1.10927,0.94217,1.43746,0.94956,0.90734,0.96791,0.7341,0.9552,0.65496,1.53533,0.000614,0.000614,0.000614
37,275.008,1.02318,0.83413,1.36544,0.95411,0.89157,0.95304,0.70814,0.94455,0.70393,1.50151,0.0005744,0.0005744,0.0005744
38,282.749,1.06761,0.8538,1.37072,0.93627,0.93976,0.96792,0.699,1.00938,0.70879,1.57523,0.0005348,0.0005348,0.0005348
39,289.569,1.01682,0.87323,1.35632,0.94005,0.90361,0.97458,0.7185,0.97368,0.64771,1.54158,0.0004952,0.0004952,0.0004952
40,297.552,0.97373,0.80498,1.33047,0.98714,0.9246,0.97818,0.71875,0.94628,0.61433,1.53042,0.0004556,0.0004556,0.0004556
41,308.479,0.85091,0.73749,1.34624,0.96055,0.93976,0.97007,0.69751,1.04102,0.60495,1.58585,0.000416,0.000416,0.000416
42,315.054,0.90506,0.70052,1.40224,0.98697,0.91286,0.97015,0.71958,0.93919,0.591,1.55199,0.0003764,0.0003764,0.0003764
43,322.607,0.84733,0.64757,1.31924,0.94779,0.93976,0.97342,0.7396,0.90843,0.61261,1.50154,0.0003368,0.0003368,0.0003368
44,329.319,0.84212,0.68673,1.33197,0.94938,0.91566,0.96599,0.74891,0.91089,0.61847,1.4818,0.0002972,0.0002972,0.0002972
45,337.02,0.79879,0.61613,1.28831,0.96255,0.92905,0.97417,0.74744,0.91507,0.57722,1.50791,0.0002576,0.0002576,0.0002576
46,343.48,0.7736,0.59489,1.27343,0.9875,0.9518,0.98362,0.73963,0.94665,0.56994,1.56257,0.000218,0.000218,0.000218
47,351.135,0.76021,0.58072,1.23463,0.98536,0.96386,0.98558,0.73757,0.98822,0.56891,1.60178,0.0001784,0.0001784,0.0001784
48,358.092,0.75281,0.57364,1.23928,0.97532,0.93976,0.98486,0.75037,0.96543,0.55965,1.55766,0.0001388,0.0001388,0.0001388
49,365.108,0.73585,0.5553,1.2192,0.96314,0.94452,0.98336,0.75889,0.92607,0.5453,1.50719,9.92e-05,9.92e-05,9.92e-05
50,372.762,0.73352,0.54208,1.21172,0.96069,0.95181,0.98283,0.75932,0.92171,0.53619,1.49829,5.96e-05,5.96e-05,5.96e-05
